Plate,Well,Buffer,Temperature,Time_Factor,Time_Cont,Extraction,Technical_rep,PCR_rep,qs_conc_pg/mL,qs_conc_adjusted,Eamc_sample,Cq_sample,No_standard,Eamc_standard,Cq_standard,No_sample_ng/ul,No_sample_pg/mL
9 eDNA Pres I,A9,Immediate,na,24 hours,0,Kit,5,3,19461.58707,19461.58707,1.805,29.005,1.14,1.752,22.512,0.012680553,12680.55338
9 eDNA Pres I,A10,Immediate,na,24 hours,0,Kit,5,4,18000.88026,18000.88026,1.756,29.045,1.14,1.752,22.512,0.027474359,27474.35923
9 eDNA Pres I,A11,Immediate,na,24 hours,0,Kit,5,5,15939.93418,15939.93418,1.796,29.267,1.14,1.752,22.512,0.012471336,12471.33571
9 eDNA Pres I,A12,Immediate,na,24 hours,0,Kit,5,6,15912.83828,15912.83828,1.739,29.364,1.14,1.752,22.512,0.030361748,30361.74839
9 eDNA Pres I,B8,Immediate,na,24 hours,0,Kit,5,7,19706.55844,19706.55844,1.748,28.904,1.14,1.752,22.512,0.033733109,33733.10929
9 eDNA Pres I,B9,Immediate,na,24 hours,0,Kit,5,8,19188.58476,19188.58476,1.819,29.056,1.14,1.752,22.512,0.009822439,9822.439456
9 eDNA Pres I,B10,Immediate,na,24 hours,0,Kit,5,9,18517.2148,18517.2148,1.778,29.019,1.14,1.752,22.512,0.019439859,19439.85936
9 eDNA Pres I,C7,Immediate,na,24 hours,0,Kit,6,1,19260.92803,19260.92803,1.773,28.98,1.14,1.752,22.512,0.021343662,21343.66222
9 eDNA Pres I,C8,Immediate,na,24 hours,0,Kit,6,2,18726.7065,18726.7065,1.802,29.06,1.14,1.752,22.512,0.012822459,12822.45854
9 eDNA Pres I,C9,Immediate,na,24 hours,0,Kit,6,3,19224.39225,19224.39225,1.765,28.958,1.14,1.752,22.512,0.024619337,24619.33734
9 eDNA Pres I,D7,Immediate,na,24 hours,0,Kit,6,4,18647.60928,18647.60928,1.793,29.026,1.14,1.752,22.512,0.015111223,15111.22308
9 eDNA Pres I,D8,Immediate,na,24 hours,0,Kit,6,5,20116.95504,20116.95504,1.751,28.865,1.14,1.752,22.512,0.03307497,33074.9695
9 eDNA Pres I,D9,Immediate,na,24 hours,0,Kit,6,6,18118.3964,18118.3964,1.782,29.059,1.14,1.752,22.512,0.017615267,17615.267
9 eDNA Pres I,E7,Immediate,na,24 hours,0,Kit,6,7,18633.86855,18633.86855,1.79,29.018,1.14,1.752,22.512,0.015940622,15940.62219
9 eDNA Pres I,E8,Immediate,na,24 hours,0,Kit,6,8,17330.89983,17330.89983,1.688,28.903,1.14,1.752,22.512,0.093109449,93109.44886
9 eDNA Pres I,E9,Immediate,na,24 hours,0,Kit,6,9,18734.25581,18734.25581,1.783,29.026,1.14,1.752,22.512,0.017811946,17811.94594
1 eDNA Pres I,C11,Ethanol,-20,2 weeks,2,Kit,1,1,47075.54728,47075.54728,1.793,27.758,1.14,1.819,22.686,0.081561656,81561.65582
1 eDNA Pres I,C12,Ethanol,-20,2 weeks,2,Kit,1,2,48190.85822,48190.85822,1.778,27.692,1.14,1.819,22.686,0.107832678,107832.6779
1 eDNA Pres I,D7,Ethanol,-20,2 weeks,2,Kit,1,3,46593.33825,46593.33825,1.784,27.758,1.14,1.819,22.686,0.094653052,94653.05242
1 eDNA Pres I,D8,Ethanol,-20,2 weeks,2,Kit,1,4,46593.33825,46593.33825,1.805,27.671,1.14,1.819,22.686,0.07155556,71555.55994
1 eDNA Pres I,D9,Ethanol,-20,2 weeks,2,Kit,1,5,61068.68386,61068.68386,1.802,27.306,1.14,1.819,22.686,0.092260281,92260.28075
